seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_latitude,seller_longitude
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-22.89331719086207,-47.06059620586207
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,-22.381828013666667,-46.948224352333334
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-22.909446387142857,-43.180239527551024
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,-23.657111373589743,-46.61255565435897
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,-22.964813384941174,-46.534024466
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-22.89542015333333,-43.23034709783334
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,-21.436868237142857,-50.0768836747619
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,-23.56838237478261,-46.6344172273913
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-25.456890207126435,-49.30977157517241
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,-16.334110832592593,-48.940509739629626
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,-22.2518616734375,-47.81385209609375
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,-23.54595761541667,-46.649500861250004
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-23.58244283325581,-46.76284862139535
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,-28.478258672133332,-48.99580000733334
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,-12.893814631999998,-38.33893569225
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,-28.232438311758795,-48.68022343407035
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,-15.768371216666667,-47.891017870333336
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,-16.43232499971787,-39.07620413761755
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,-23.484921209600003,-46.733971501
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,-23.983360999085367,-46.240081072012195
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,-21.737063347777777,-48.68756876825397
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,-23.63212159347826,-46.62243657695652
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,-23.202662995619836,-47.29578408636363
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,-27.776201086483514,-54.23553505384616
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,-19.961548127846154,-43.96057568953846
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,-23.424768668529413,-51.43381503705882
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,-23.725705063167702,-46.581857710124225
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,-23.758050637333334,-46.68885400833334
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,-25.440710888297872,-49.24556280276596
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,-23.467372512727273,-46.57692511181818
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,-28.03542950539823,-48.627746847699115
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,-23.544886968387097,-46.49665944032258
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,-22.755744823658535,-46.13954709682927
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,-21.93063099046875,-50.49784702
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,-23.44594904489051,-46.42684053109489
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,-25.499619453414635,-49.17707884134146
ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,-23.54872507,-46.528755219
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,-23.619507886153844,-46.61863791230769
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,-15.84811496,-48.11261793
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,-15.781830392222222,-47.93387024055556
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,-28.3289136708,-49.176187613
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,-22.71704607877193,-47.64028299008772
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,-30.066216605375,-51.225582085375
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,-21.839362794848483,-45.614963566363635
28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,-19.86760112169014,-43.899454552816906
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,-19.841326725108694,-43.97985453619565
8759e7aedd644f487315e5860962f162,9251,santo andre,SP,-23.63042354508772,-46.50736113245614
e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,-23.6214977755,-46.6948346865
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP,-23.566868075000002,-46.800838782499994
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP,-22.97523760944444,-47.002177170740744
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC,-26.32835418,-48.8800660608
41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,-23.943974988648648,-46.19489262189189
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ,-22.92331045190184,-42.503735520920245
7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,SC,-26.659851823827164,-48.68900082481481
c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ,-22.418997217179488,-43.13079271102564
b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,-29.830023828780487,-50.5201918103252
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR,-25.094194793817202,-50.160951075376346
cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,-23.464114474375002,-46.8465897775
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,-23.681611393500003,-46.50118008566667
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP,-22.005763187438017,-47.85562054363636
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP,-23.56695568647059,-46.788367269411765
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP,-21.7572251051417,-48.82954113574898
b7e1750c1157341d2abd0251e07c186b,5741,sao paulo,SP,-23.61071631333333,-46.747887892222224
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR,-25.54255455983333,-49.18227031483333
a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP,-23.515891988333333,-46.54752258166667
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP,-23.489858746382982,-46.9531816412766
5206cc4bc2297c833e6061c49bf9c43f,6192,osasco,SP,-23.527750696842105,-46.802065096491226
ef506c96320abeedfb894c34db06f478,3569,sao paulo,SP,-23.543143412,-46.490138112
